review,label
"Fascinating I approached I Am Curious (Yellow) and it's companion piece with great trepidation. I'd read numerous reports on its widely touted controversy and explicit sex. What I got wasn't this, but a thoroughly thought provoking and engaging cinema experience unlike any other. I sincerely believe that the majority of the commenter who felt the film was `lame' or `boring' approached the film as if it were pornography. Perhaps this is pornography, assuming pornography is something intended to titillate the senses, but it is intentionally un-erotic. Lena, the protagonist, throws her all into her performance giving it a realistic and humanity that is simply convincing and enduring. Her breasts may be saggy, her nipples unusually large, her thighs fat, and her face, chubby. But by the end of the film, the audience comes to identify with her, and accept her faults as human. This touch gives her even more believability out necessity. Had the director cast a Briget Bardot bombshell the effect would have been nullified. I cannot more highly recommend this thought provoking piece. Be prepared to invest much thought in this deliberately paced film. The patient and unassuming viewer will be thoroughly rewarded in ways most other films could dream.",1
"In 1990 Brad Pitt and Juiliette Lewis did a TV Too Young To Die where both played the almost the same kind of parts that they do in Kalifornia. I have no doubt that is what led to their casting in this big screen film.<br /><br />Kalifornia finds aspiring writer David Duchovny and his girl friend, art photographer Michelle Forbes on a rocky relationship of sorts due to Duchovny's obsession with writing a book and getting in the minds and souls of serial killers. In fact he's got a most unusual odyssey planned, he wants to go cross country and visit the sites of several famous serial killers. But he and Forbes are flat broke.<br /><br />Fate intervenes in more ways than financial with the arrival of Brad Pitt and Juliette Lewis a pair of strange southern types who agree to split the cost of gas on this cross country trip. It turns out Pitt is a serial killer himself and he decides to do a little research on his own, delving into the mind of someone who is fascinated with amorality.<br /><br />Kalifornia is not the type of film I usually go for, but in fact the acting ability and charisma of Brad Pitt make it work to a large degree. Pitt is the walking definition of an inbred Gothic refugee from Deliverance. But better than he is is Juliette Lewis who once again is playing these low self esteem types which she seems to do well. Watch her scene with Forbes as she does her hair and Lewis describes her sad and pathetic life. Lewis's dialog and Forbes's reactions ought to be shown in acting classes around the country.<br /><br />For those who like their slasher flicks, they don't come better than Kalifornia.",1
"This film was absolutely awful, I even feel uncomfortable calling it a film. Its the typical ""mumblecore"" movie, with zero plot and a bunch of aimless whiny twenty somethings stumbling around trying to ""figure stuff out"". I have tried to give mumblecore a chance, but lets be honest its just horrible.<br /><br />I am not out of sync with cinema, I appreciate Dogme95 films, Idioterne is one of my all time favorite films. So I do not mind if a film is cheaply made so long as there is some (ANY) substance.<br /><br />Everything in this film is horrid, the acting, the writing (or was it all improvised?), the direction, but MOST of all, above everything else, the camera work was just plain and simple nonsense. The camera was never anywhere logical, there was no consistency. I got to admit being a guy I had heard there was nudity in this film so I thought to myself well even if its horrible at least there's nudity (yea I know, I'm a jerk). Well thanks to the uber crappy camera-work you never really get to see anything, and the things you do see, TRUST ME - YOU DO NOT WANT TO SEE. This film made me want to vomit on numerous levels.<br /><br />The dialogue made me want to vomit, the camera-work made me want to vomit, but mostly the idea that this film was praised by some legit critics, well now that more than anything makes me want to vomit.",0
"At the end of the movie i still don't know whether i liked it or not. So was the case with most of the reviewers. But none the less i still feel that the movie is worth a 7 for the amount of efforts put in. <br /><br />long ago i read a quote: THERE ARE 2 KIND OF WRITERS, 1. THOSE WHO THINK AND WRITE. AND 2. THOSE WRITE AND MAKE THE READERS THINK. while here i feel that GUY Ritchie took this way too literally and left all the thinking for the audience.<br /><br />i felt that the movie was a mixed bag filled with some of THE DEVILS ADVOCATE and FIGHT CLUB....<br /><br />it is definitely a classic: something which no one understands but appreciates....<br /><br />what i don't understand: why stathom(Jake Green) had a blackout (thats how it all began), all the riddles and mysteries in the movie have been taken care of except this one.<br /><br />well if you are reading this review to find the solution as what this movie was all about: i'll post the very midnight it strikes me and if you are still deciding to watch this movie or not: then answer this first.... when you come across a puzzle labeled as 'no one has ever solved' would you like to try? <br /><br />i would",1
"An incredible little English film for so many reasons. First it's a rare look a Laurence Olivier in a light comedy. While his performance is not up the standard he would latter set as one of the greatest actors of the 20th century, he is perfectly believable as the hoodwinked barrister. Historically this film is of great interest because of both where and when it was shoot. Being English it didn't have the big budget of the Hollywood films of the same era and it often shows, but more interesting is the fact this movie filmed just prior to the war and shows an England that would soon be gone. When we watch it today we think in terms of modern morality and over look the fact that this movie and its closest American counter part `It Happened One Night' were in their day as risque as `Fatal Instinct' was in our time. But after watching and enjoying this movie the first time I can't help but feel sadness when I watch it today. With half of film shoot before 1950 gone, saving the remaining films means hard choices, and unfortunately films like this are often passed over to save movies that we all consider important. The color shifting, lack of contrast, and generally poor quality of the print most often seen is heartbreaking. This movie along with `It Happened One Night' are perfect to curl up with a love one under a blanket on cool a cool evening and watch, or better yet why not a double feature.",1
"Geez, as a Gay man who lives in NYC I can gratefully say that I have never seen the underbelly of Gay Culture that is portrayed in this film - and I am glad of it!!! Was this film broadcast on TV across the United States there would be a great anti-Gay backlash and I cannot say that I would blame them. The people in this film do not represent the average Gay American or even the average Trandgender American, what they do represent is a sheer and utter nightmare. The inclusion of obviously underage characters is appalling and the obvious racist sentiments (anti-White) are blatant and unsettling - society cannot be blamed for people who have chosen drugs, unemployment and rejection of education on the part of the film's ""cast"" - the actions of these people are not acts of desperation, but rather a rejection of anything resembling personal ambition and a willingness to make something out of one's self.",0
"""the day time ended"" is an incredible picture. in some ways, it's better than ""close encounters of the third kind."" (i prefer cheesy independent flicks to big budget spectaculars.) the special effects ARE cheesy, but that's a big part of the fun. jim davis gives an excellent performance in this film. it's probably one of the best roles he ever had in a feature. the musical score is very good. the story DOESN'T make sense. BUT THAT ONLY MAKES IT ALL THE MORE INTRIGUING. like many of the best works of art, ""the day time ended"" isn't afraid to be subtle and ambiguous. ""the day time ended"" may be a low budget indie film, but it isn't too much of a stretch to compare it with the ""existential"" European films of the fifties and sixties. (many of which were low budget independent productions themselves.)",1
"It is important not to be insulted by lack of logic or common sense and those who have any ""gray matters"" will agree that this movie just doesn't work.<br /><br />The problems lay in the direction, cast selections and lack of depth in the character building. The word comedy was very hard thing to say when i expect to laugh when these words are used. Let's look at the problems in direction/script.<br /><br />Brother and sister both in their mid 30's seem to be well adjusted. They meet a complete stranger at a park and Heather Graham character walks up to her and asks the most intimate questions that even half sane person would be running the other way or at least scream for a police officer. He then awkwardly walks over and makes some stupid statements and she falls for him. Then after ONE date were they all go out together he falls in love with her and decides to get married in Vegas in a week's time???? Hello does anyone feel stupid yet? He goes out with thousands of women and he meets this one person who says about 10 words that WE see on the screen and he wants to marry her. Not only was there no chemistry it just doesn't make sense. Sure it's a romantic comedy and I want to believe it could, but the direction made it completely flat.<br /><br />Now Heather falls head over heels with her too and when Heather Graham and Bridget Moynahan (very shallow character) kiss or more to the point it was sloppiest kiss ever that chemistry MIGHT be there. I found it unromantic and unfunny and while many say Heather cannot act i think the reality is Heather was clearly the wrong person for this role. <br /><br />This was Sue Kramer debut as a director and to me it was just too much for her to chew. It would take a lot of craft to make this movie work and IMHO it could be done with better writers and casting and direction.",0
"This movie was by far the worst movie that I have ever seen in my entire life. I'm not even kidding. It was poorly made and the actors couldn't act. It was a waste of my time and money. It looked like a movie that my friends and I could have put together on our own. The case the movie came in is definitely a disguise. Nothing in the movie looks like the zombie on the front of the case. It appears that the director or make-up artist has just put black eye liner under someones eyes an called them a zombie. The credits at the beginning of the movie take up almost 20 minutes of the movie. Which watching the credits was the best part of the movie. This was honestly an awful movie and I couldn't believe how badly it was put together. Scenes jumped from one thing to the other and sometimes u were like ""whats going on?"" The audio was awful and the action shots looked like a couple of teen's joking around making a fake fight scene.<br /><br />IF you are considering renting or buying this movie I would advise you to at least watch the trailer for it because it show's how awful it truly is. I wish i would have watched it before i rented it.",0
"I'm a big fan of the old westerns, and do not believe that Hollywood is capable of capturing its old glory. But not even Ronda Fleming and Stewart Granger can help this 1957 movie which carries nearly all the trite characteristics of westerns of the reformed gunfighter turned good guy. fallen but virtuous woman, bigoted townspeople who must turn to gunfighter for salvation, etc. I can't help but notice the last names of the writer and young ""actor"" who plays Granger's son. Any nepotism there? I've seen better acting in high school plays. Chill Wills plays a cartoon characterization of Chill Wills. Have I reached the 1000 words yet?",0
